,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Yu-Y/A,Ru-Lg,Ru-TD,Fum,FumL
14,2018,16,Away,NE,L,12-24,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,MIA,W,17-42,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,DET,T,27-27,1,1,5,5,5,0,0,0,0,0,0,0,0
1,2019,2,Away,BAL,L,17-23,1,2,6,6,6,0,0,0,0,0,0,0,0
2,2019,3,Home,CAR,L,38-20,1,1,9,9,9,0,0,0,0,0,0,0,0
3,2019,4,Home,SEA,L,27-10,1,2,3,3,3,0,0,0,0,0,0,0,0
4,2019,5,Away,CIN,W,26-23,1,1,27,27,27,0,0,0,0,0,0,0,0
5,2019,6,Home,ATL,W,33-34,2,2,8,4,6,0,0,0,0,0,0,0,0
6,2019,7,Away,NYG,W,27-21,1,2,12,12,12,0,0,0,0,0,0,0,0
7,2019,8,Away,NO,L,9-31,3,3,88,29.3,47,0,0,0,0,0,0,0,0
8,2019,9,Home,SF,L,28-25,1,2,6,6,6,0,0,0,0,0,0,0,0
9,2019,10,Away,TB,L,27-30,1,1,5,5,5,0,0,0,0,0,0,0,0
10,2019,11,Away,SF,L,26-36,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,LAR,L,34-7,2,2,29,14.5,23,0,0,0,0,0,0,0,0
12,2019,14,Home,PIT,L,23-17,1,1,5,5,5,1,0,0,0,0,0,0,0
13,2019,15,Home,CLE,W,24-38,1,2,18,18,18,0,0,0,0,0,0,0,0
14,2019,16,Away,SEA,W,27-13,1,1,16,16,16,0,0,0,0,0,0,0,0
15,2019,17,Away,LAR,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
