,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,TEN,W,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,NYJ,W,20-12,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,OAK,W,20-28,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,NE,L,7-38,1,3,3,3,0,0,0,0,0,0,0,0,0
4,2018,5,Away,CIN,L,17-27,1,2,2,2,0,0,0,0,0,0,0,0,0
5,2018,6,Home,CHI,W,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,DET,L,32-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,HOU,L,23-42,1,5,5,5,0,0,0,0,0,0,0,0,0
8,2018,9,Home,NYJ,W,6-13,1,-2,-2,-2,0,2,2,17,8.5,9,0,0,0
9,2018,10,Away,GB,L,12-31,0,0,0,0,0,1,1,6,6,6,0,0,0
10,2018,12,Away,IND,L,24-27,0,0,0,0,0,2,2,-5,-2.5,-2,0,0,0
11,2018,13,Home,BUF,W,17-21,4,3,0.8,8,0,0,0,0,0,0,0,0,0
12,2018,14,Home,NE,W,33-34,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,MIN,L,17-41,12,123,10.3,75,1,1,1,-2,-2,-2,0,0,0
14,2018,16,Home,JAC,L,17-7,4,10,2.5,6,0,2,4,39,19.5,31,0,0,0
15,2018,17,Away,BUF,L,17-42,12,47,3.9,16,0,1,1,1,1,1,0,1,1
0,2019,1,Home,BAL,L,59-10,5,-1,-0.2,6,0,1,1,13,13,13,0,0,0
1,2019,2,Home,NE,L,43-0,4,6,1.5,3,0,1,5,6,6,6,0,0,0
2,2019,3,Away,DAL,L,6-31,8,17,2.1,6,0,1,3,10,10,10,0,0,0
3,2019,4,Home,LAC,L,30-10,2,7,3.5,6,0,0,1,0,0,0,0,0,0
4,2019,6,Home,WAS,L,17-16,3,7,2.3,6,1,0,0,0,0,0,0,0,0
5,2019,7,Away,BUF,L,21-31,3,7,2.3,3,1,0,0,0,0,0,0,0,0
6,2019,8,Away,PIT,L,14-27,3,8,2.7,4,0,1,1,11,11,11,0,0,0
7,2019,9,Home,NYJ,W,18-26,7,19,2.7,8,0,0,1,0,0,0,0,0,0
8,2019,10,Away,IND,W,16-12,20,43,2.2,7,0,4,4,2,0.5,3,0,0,0
9,2019,11,Home,BUF,L,37-20,9,9,1,7,1,5,6,8,1.6,7,0,0,0
10,2019,12,Away,CLE,L,24-41,7,13,1.9,4,0,1,1,13,13,13,0,0,0
11,2019,13,Home,PHI,W,31-37,3,0,0,1,0,0,1,0,0,0,0,0,0
12,2019,14,Away,NYJ,L,21-22,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,NYG,L,20-36,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,CIN,W,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,NE,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
