,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,PIT,T,21-21,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,NO,L,18-21,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,NYJ,W,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,OAK,L,42-45,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Home,BAL,W,9-12,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,LAC,L,38-14,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,TB,L,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,PIT,L,18-33,0,0,0,0,0,1,1,24,24,24,0,0,0
8,2018,9,Home,KC,L,37-21,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2018,10,Home,ATL,W,16-28,0,0,0,0,0,1,1,6,6,6,0,0,0
10,2018,12,Away,CIN,W,35-20,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,HOU,L,13-29,0,0,0,0,0,4,4,40,10,23,0,0,0
12,2018,14,Home,CAR,W,20-26,0,0,0,0,0,2,2,20,10,12,0,0,0
13,2018,15,Away,DEN,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,CIN,W,18-26,0,0,0,0,0,1,1,15,15,15,0,0,0
15,2018,17,Away,BAL,L,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,TEN,L,43-13,1,4,4,4,1,1,2,14,14,14,0,0,0
1,2019,2,Away,NYJ,W,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,LAR,L,20-13,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,BAL,W,40-25,6,27,4.5,11,1,2,3,27,13.5,19,0,0,0
4,2019,5,Away,SF,L,3-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,SEA,L,32-28,0,0,0,0,0,2,3,17,8.5,14,0,0,0
6,2019,8,Away,NE,L,13-27,1,10,10,10,0,4,4,24,6,14,0,1,0
7,2019,9,Away,DEN,L,19-24,5,8,1.6,4,0,2,2,6,3,4,0,0,0
8,2019,10,Home,BUF,W,16-19,0,0,0,0,0,0,0,0,0,0,0,1,0
9,2019,11,Home,PIT,W,7-21,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,MIA,W,24-41,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,PIT,L,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,CIN,W,19-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,ARI,L,24-38,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,BAL,L,31-15,0,0,0,0,0,1,1,4,4,4,0,0,0
15,2019,17,Away,CIN,L,23-33,-,-,-,-,-,-,-,-,-,-,-,-,-
