,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,OAK,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,CHI,L,16-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,GB,L,16-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,JAC,L,26-24,1,1,8,8,8,0,0,0,0,0,0,0,0
4,2019,5,Away,LAC,W,20-13,0,0,0,0,0,0,1,9,9,9,0,0,0
5,2019,6,Home,TEN,W,0-16,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Home,KC,L,30-6,1,1,5,5,5,0,0,0,0,0,0,0,0
7,2019,8,Away,IND,L,13-15,2,2,18,9,20,0,1,5,5,5,0,0,0
8,2019,9,Home,CLE,W,19-24,1,3,0,0,0,0,0,0,0,0,0,1,1
9,2019,11,Away,MIN,L,23-27,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,BUF,L,3-20,1,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,LAC,W,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,HOU,W,38-24,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,KC,L,3-23,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,DET,W,17-27,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2019,17,Home,OAK,W,15-16,0,0,0,0,0,0,1,-8,-8,-8,0,1,0
