,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
15,2017,17,Away,SEA,W,26-24,1,5,25,25,25,1,0,0,0,0,0,0,0
0,2018,1,Away,DEN,L,24-27,1,3,7,7,7,0,0,0,0,0,0,0,0
1,2018,2,Away,CHI,L,17-24,3,3,36,12,19,0,0,0,0,0,0,0,0
2,2018,3,Home,DAL,W,13-24,2,2,25,12.5,16,1,0,0,0,0,0,0,0
3,2018,4,Away,ARI,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,LAR,L,33-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,OAK,W,27-3,1,1,5,5,5,1,0,0,0,0,0,0,0
6,2018,8,Away,DET,W,28-14,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Home,LAC,L,25-17,1,2,10,10,10,1,0,0,0,0,0,0,0
8,2018,10,Away,LAR,L,31-36,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Home,GB,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,CAR,W,30-27,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,SF,W,16-43,3,3,67,22.3,45,2,0,0,0,0,0,0,0
12,2018,14,Home,MIN,W,7-21,1,1,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,SF,L,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,KC,W,31-38,1,1,9,9,9,0,0,0,0,0,0,0,0
15,2018,17,Home,ARI,W,24-27,1,2,7,7,7,0,0,0,0,0,0,0,0
0,2019,1,Home,CIN,W,20-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,PIT,W,28-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,NO,L,33-27,3,6,30,10,16,0,0,0,0,0,0,0,0
3,2019,4,Away,ARI,W,27-10,3,3,50,16.7,32,0,0,0,0,0,0,0,0
4,2019,5,Home,LAR,W,29-30,2,4,36,18,21,0,0,0,0,0,0,1,1
5,2019,6,Away,CLE,W,32-28,3,5,29,9.7,17,2,0,0,0,0,0,0,0
6,2019,7,Home,BAL,L,30-16,3,6,60,20,48,0,0,0,0,0,0,0,0
7,2019,8,Away,ATL,W,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Home,TB,W,34-40,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Away,SF,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,PHI,W,17-9,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,MIN,W,30-37,1,1,6,6,6,0,0,0,0,0,0,0,0
12,2019,14,Away,LAR,L,12-28,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,CAR,W,30-24,1,1,9,9,9,0,0,0,0,0,0,0,0
14,2019,16,Home,ARI,L,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,SF,L,26-21,0,2,0,0,0,0,0,0,0,0,0,0,0
