,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,GB,L,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,SEA,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,ARI,W,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Home,TB,W,10-48,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2018,6,Away,MIA,L,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,7,Home,NE,L,38-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Home,NYJ,W,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Away,BUF,W,41-9,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Home,DET,W,22-34,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Home,MIN,W,20-25,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DET,W,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,NYG,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Home,LAR,W,6-15,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Home,GB,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,SF,W,14-9,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,MIN,W,24-10,4,4,32,8,16,0,0,0,0,0,0,0,0
0,2019,1,Home,GB,L,10-3,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,DEN,W,16-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,WAS,W,31-15,1,1,8,8,8,0,0,0,0,0,0,0,0
3,2019,4,Home,MIN,W,6-16,4,5,56,14,37,0,0,0,0,0,0,0,0
4,2019,5,Away,OAK,L,21-24,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2019,7,Home,NO,L,36-25,1,1,6,6,6,1,0,0,0,0,0,0,0
6,2019,8,Home,LAC,L,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Away,PHI,L,14-22,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,DET,W,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,LAR,L,7-17,1,2,11,11,11,0,0,0,0,0,0,0,0
10,2019,12,Home,NYG,W,14-19,0,2,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,DET,W,24-20,5,6,56,11.2,19,0,0,0,0,0,0,0,0
12,2019,14,Home,DAL,W,24-31,0,3,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,GB,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,KC,L,26-3,3,9,26,8.7,12,0,0,0,0,0,0,0,0
15,2019,17,Away,MIN,W,21-19,3,7,23,7.7,17,0,0,0,0,0,0,0,0
