,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,JAC,W,40-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,OAK,W,28-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,BAL,W,28-33,1,1,7,7,7,0,0,0,0,0,0,0,0
3,2019,4,Away,DET,W,34-30,1,1,13,13,13,0,0,0,0,0,0,0,0
4,2019,5,Home,IND,L,19-13,6,8,103,17.2,28,1,0,0,0,0,0,0,0
5,2019,6,Home,HOU,L,31-24,2,4,24,12,19,0,0,0,0,0,0,0,0
6,2019,7,Away,DEN,W,30-6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Home,GB,L,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Home,MIN,W,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Away,TEN,L,32-35,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,11,Away,LAC,W,24-17,1,1,9,9,9,0,0,0,0,0,0,0,0
11,2019,13,Home,OAK,W,9-40,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,NE,W,23-16,1,1,14,14,14,0,0,0,0,0,0,0,0
13,2019,15,Home,DEN,W,3-23,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,CHI,W,26-3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,LAC,W,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
